id,deskripsi
0,A-15 CR SHAFT ASSY PRO1 070
1,ACCU SPRAYER KANEDA 12A
2,ACCU SPRAYER KANEDA 8A
3,ACCU SPRAYER KANEDA 9A
4,ACCU SPRAYER TOKUDA 12A
5,ACCU SPRAYER TOKUDA 8A
6,"AIR BLOW GUN TEKIRO 5"" AT-BG1627"
7,"AIR CHUCK FOR TRUCK TEKIRO 12"" AU-AC0993"
8,AIR DUSTER TEKIRO DG1-3 AT-AD1111
9,AIR IMPACT JUMBO HAMMER TEKIRO 1/2'' AT-AI1668
10,AIR NAILER H&L F32
11,AIR NAILER MAKITA AF 504Z**
12,AIR NAILER MOLLAR F30C
13,AIR TACKER MAKITA AT 1022 AZ
14,ALAT TAMBAL BAN TUBLES SET GAGANG BESI TEKIRO AU-TK1774
15,ALTERNATOR ADK ADI164B 11KVA DOUBLE
16,AMPLAS BULAT FRT 4#80
17,AMPLAS LEMBARAN NIPPON STAR #320
18,AMPLAS LEMBARAN NIPPON STAR #400
19,AMPLAS LEMBARAN NIPPON STAR #600
20,ARMATURE BOSCH GSB 550/1300/500RE 1619PA0697
21,ARMATURE BOSCH GWS 700 1619PC1304
22,ARMATURE BULL 9553B/NB
23,ARMATURE BULL GA 4030/4034
24,ARMATURE BULL GA 7020/9020/900/902/930
25,ARMATURE BULL HM 0810
26,ARMATURE BULL HM 1306
27,ARMATURE BULL HR2470/2460
28,ARMATURE BULL MT 191/192/M1901B/M1902B
29,ARMATURE BULL MT 580/583/560/M5801B
30,ARMATURE DONG CHENG DMB82 N 1900B
31,ARMATURE DONG CHENG DSM03-100A (GWS 6-100)
32,ARMATURE DONG CHENG DSM15-100B (9553B)
33,ARMATURE DONG CHENG GA 4030
34,ARMATURE DONG CHENG TO N9500N
35,ARMATURE DONGCHENG MT954
36,ARMATURE MAKITA 9005 B	
37,ARMATURE MAKITA 9553B(DOZ NB)(510086-1)
38,ARMATURE MAKITA HR 2460/HR 2470 (515288-4)
39,ARMATURE MAKITA HR 2810 (515293-1)
40,ARMATURE MAKITA N 9500N (511923-2)
41,ARMATURE MAKTEC M 5801B/MT 583 (513863-0)
42,ARMATURE MAKTEC MT 90/91 515828-8
43,ARMATURE MODERN M 2300B/SIM100
44,ARMATURE MODERN M 2350/M2340
45,ARMATURE MODERN M 2360
46,ARMATURE MODERN M 2400
47,ARMATURE MODERN M 2600
48,ARMATURE MODERN M 2800
49,ARMATURE MODERN M 2850
50,ARMATURE MODERN M 2900
51,ARMATURE MODERN M 2960
52,ARMATURE MODERN M2100B/C/JIZ10MM
53,ARMATURE RYU RMC 110-2
54,"B-16  BUSI WS7F BOCSH KUNING ""G""070"
