Tanggal,Pelanggan,Deskripsi Barang,Jml,Hrg Satuan,SubTotal,Jenis Barang,Merek Barang,Salesman,Jenis Alat,Transaction_ID
2025-03-01,ONLINE 3,ARMATURE DONG CHENG DMB82 N 1900B,1,"Rp87,000",87000,SPARE PART PT,DONGCHENG,AHEN (LAZADA),ARMATURE,al-0301-1
2025-03-01,ONLINE 3,STATOR MODERN M2130 BOR,1,"Rp73,300",73300,SPARE PART PT,MODERN,AHEN (SHOPEE 2),STATOR,as-0301-1
2025-03-01,ONLINE 3,ARMATURE MODERN M 2300B/SIM100,1,"Rp90,000",90000,SPARE PART PT,MODERN,AHEN (SHOPEE 2),ARMATURE,as-0301-1
2025-03-01,ONLINE 3,GERINDA MODERN SIM100B,1,"Rp240,000",240000,POWER TOOLS PT,MODERN,AHEN (SHOPEE 2),GERINDA,as-0301-1
2025-03-01,ONLINE 3,GERINDA MODERN SIM100B,1,"Rp240,000",240000,POWER TOOLS PT,MODERN,AHEN (SHOPEE 2),GERINDA,as-0301-2
2025-03-01,ONLINE 3,GERINDA MODERN SIM100B,1,"Rp240,000",240000,POWER TOOLS PT,MODERN,AHEN (SHOPEE 2),GERINDA,as-0301-3
2025-03-01,ONLINE 3,GERINDA MODERN SIM100B,1,"Rp240,000",240000,POWER TOOLS PT,MODERN,AHEN (SHOPEE 2),GERINDA,as-0301-4
2025-03-01,ONLINE 3,C.LESS DRILL MODERN M-12V,1,"Rp357,000",357000,POWER TOOLS,MODERN,AHEN (SHOPEE 2),C.LESS DRILL,as-0301-4
2025-03-01,ONLINE 3,FILTER SPRAYER DALAM 12MM OLD-F,1,"Rp2,000",2000,SPARE PART KANEDA,KANEDA,AHEN (SHOPEE),FILTER SPRAYER DALAM 12MM OLD-F,as-0301-1
2025-03-01,ONLINE 3,KUNCI L PANJANG JETJO 4MM 601268,1,"Rp3,150",3150,TEKNIK,JETJO,AHEN (SHOPEE),KUNCI L PANJANG,as-0301-1
2025-03-01,ONLINE 3,"KIKIR SLIM TEKIRO 3"" GT-ST1635",1,"Rp11,500",11500,TEKNIK,TEKIRO,AHEN (SHOPEE),KIKIR SLIM,as-0301-1
2025-03-01,ONLINE 3,KUNCI L PANJANG TEKIRO 1.5MM HK-LO1164,1,"Rp8,300",8300,TEKNIK,TEKIRO,AHEN (SHOPEE),KUNCI L PANJANG,as-0301-1
2025-03-01,ONLINE 3,KUNCI L PANJANG JETJO 6MM 601270,1,"Rp6,750",6750,TEKNIK,JETJO,AHEN (SHOPEE),KUNCI L PANJANG,as-0301-1
2025-03-01,ONLINE 3,KUNCI L SET PENDEK JETJO 2-10MM (8PCS) 601302,1,"Rp32,700",32700,TEKNIK,JETJO,AHEN (SHOPEE),KUNCI L SET PENDEK,as-0301-2
2025-03-01,ONLINE 3,"GERGAJI BESI TEKIRO 12"" GT-HS1623",1,"Rp104,240",104240,TEKNIK,TEKIRO,AHEN (SHOPEE),GERGAJI BESI,as-0301-2
